University_category,Department,Gender,Age,YearofStudy,CGPA,credits_completed,study_strategy,how_many_courses_retaken,year1,year2,year3,year4,reason_for_retaking_course_01,reason_for_retaking_course_02,reason_for_retaking_course_03,reason_for_retaking_course_04,reason_for_retaking_course_05,reason_for_retaking_course_06,subject_area,attendance,study_time,co-curricular_activities,co-curricular_activities_time,co-curricular_activities_stress,involvedInStudentPolitics,studentPoliticsTime,studyHabits,formativeAssessmentsMarks,midtermExamsMarks,finalExamsMarks,confidence,familyResponsibilities,part-timeJob,part-timeJob_time,stressAcademicJourney,livingArrangement,supportAcademicChallenges,studyEnvironment,helpFromClassmates,engaged_classroom_discussions,time_management_skills,ever_retaken
Public,Sciences,Male,22,2nd Year 2nd Semester,2.99,60,Lecture Materials and Self-Sourced Resources,1,Yes,No,No,No,Lack of preparation,0,0,0,0,0,"Life-Science (Biology, Geology, Chemistry, Microbiology)",50-60%,8-12h,Yes,1-3h,Maybe,No,0,Only before exams,60-70%,60-70%,60-70%,3,No,Not Applicable,0,Yes,Off-campus apartment,Yes,3,Yes,Sometimes,3,Yes
Public,Sciences,Male,23,3rd Year 1st Semester,2.45,80,Lecture Materials and Self-Sourced Resources,2,Yes,No,No,No,Lack of preparation,0,0,0,0,0,"Life-Science (Biology, Geology, Chemistry, Microbiology)",50-60%,8-12h,Yes,1-3h,Maybe,No,0,Only before exams,50-60%,50-60%,50-60%,4,No,Not Applicable,0,Yes,Off-campus apartment,Yes,4,Yes,Sometimes,4,Yes
Public,Engineering and Technology,Female,21,1st Year 2nd Semester,3.14,20,Lecture Materials and Self-Sourced Resources,1,Yes,No,No,No,0,Other,0,0,0,0,IT,60-70%,8-12h,Yes,1-3h,Maybe,No,0,Regular,60-70%,60-70%,60-70%,3,No,Not Applicable,0,Yes,Off-campus apartment,Yes,3,Yes,Sometimes,4,Yes
Public,Social Sciences,Male,24,3rd Year 2nd Semester,3.3,100,Lecture Materials and Self-Sourced Resources,2,Yes,No,No,No,Lack of preparation,0,0,0,0,0,Social Sciences,60-70%,8-12h,Yes,1-3h,Maybe,No,0,Only before exams,60-70%,60-70%,60-70%,4,No,Not Applicable,0,Yes,Off-campus apartment,Yes,3,Yes,Sometimes,2,Yes
Public,Sciences,Female,24,3rd Year 2nd Semester,3.31,120,Lecture Materials and Self-Sourced Resources,0,No,No,No,No,0,Other,0,0,0,0,"Life-Science (Biology, Geology, Chemistry, Microbiology)",70-80%,more than 12,Yes,3-7h,Maybe,No,0,Regular,70-80%,70-80%,70-80%,4,Yes,Tuition,8-12h,Yes,Off-campus apartment,Yes,4,Yes,Always,4,No
Private,Engineering and Technology ,Male,22,2nd Year 2nd Semester,3.45,80,Lecture Materials and Self-Sourced Resources,0,No,No,No,No,0,Other,0,0,0,0,IT,70-80%,more than 12,Yes,1-3h,Maybe,No,0,Regular,70-80%,70-80%,70-80%,4,Yes,Tuition,3-7h,Yes,With family,Yes,4,Yes,Always,4,No
Public,Sciences,Female,22,2nd Year 2nd Semester,2.89,80,Lecture Materials and Self-Sourced Resources,2,Yes,No,No,No,Lack of preparation,0,0,Poor time management,0,0,Math,Below 50%,3-7h,Yes,more than 12,Maybe,Yes,more than 12,Only before exams,Below 50%,50-60%,50-60%,2,No,Not Applicable,0,Yes,Off-campus apartment,Yes,1,Yes,Rarely,1,Yes
Public,Sciences,Female,24,3rd Year 2nd Semester,3.22,80,Lecture Materials and Self-Sourced Resources,0,No,No,No,No,0,Other,0,0,0,0,"Life-Science (Biology, Geology, Chemistry, Microbiology)",70-80%,more than 12,Yes,more than 12,Maybe,Yes,more than 12,Regular,70-80%,70-80%,70-80%,4,Yes,Tuition,8-12h,Yes,Off-campus apartment,Yes,4,Yes,Always,4,No
Private,Engineering and Technology ,Male,23,3rd Year 1st Semester,2.78,100,Lecture Materials and Self-Sourced Resources,2,Yes,No,No,No,Lack of preparation,0,0,Poor time management,0,0,IT,50-60%,8-12h,Yes,more than 12,Maybe,Yes,more than 12,Only before exams,50-60%,50-60%,50-60%,2,No,Not Applicable,0,Yes,Off-campus apartment,Yes,2,Yes,Rarely,2,Yes
Public,Sciences,Female,21,2nd Year 1st Semester,2.92,60,Lecture Materials and Self-Sourced Resources,2,Yes,No,No,No,Lack of preparation,0,0,Poor time management,0,0,"Life-Science (Biology, Geology, Chemistry, Microbiology)",50-60%,8-12h,Yes,more than 12,Maybe,Yes,more than 12,Only before exams,50-60%,50-60%,50-60%,2,No,Not Applicable,0,Yes,Off-campus apartment,Yes,2,Yes,Rarely,2,Yes
Public,Sciences,Female,24,3rd Year 2nd Semester,2.9,120,Lecture Materials and Self-Sourced Resources,1,Yes,No,No,No,Lack of preparation,0,0,0,0,0,"Life-Science (Biology, Geology, Chemistry, Microbiology)",50-60%,8-12h,Yes,more than 12,Maybe,No,0,Irregular,50-60%,50-60%,50-60%,3,Yes,Tuition,more than 12,Yes,Off-campus apartment,Yes,2,Yes,Sometimes,2,Yes
Public,Business Studies,Male,22,2nd Year 2nd Semester,2.87,80,Lecture Materials and Self-Sourced Resources,2,Yes,No,No,No,Lack of preparation,0,0,Poor time management,0,0,Business,Below 50%,more than 12,Yes,more than 12,Maybe,Yes,more than 12,Only before exams,50-60%,50-60%,50-60%,2,No,Not Applicable,0,Yes,Off-campus apartment,Yes,2,Yes,Rarely,2,Yes
National,Social Sciences,Female,23,3rd Year 1st Semester,3,100,Lecture Materials and Self-Sourced Resources,1,Yes,No,No,No,Lack of preparation,0,0,Poor time management,0,0,Social Sciences,50-60%,more than 12,Yes,more than 12,Yes,Yes,more than 12,Only before exams,50-60%,60-70%,60-70%,3,No,Not Applicable,0,Yes,University dorm,Yes,3,Yes,Sometimes,3,Yes
Private,Engineering and Technology ,Male,21,2nd Year 1st Semester,3.25,60,Lecture Materials and Self-Sourced Resources,0,No,No,No,No,0,Other,0,0,0,0,IT,60-70%,more than 12,Yes,3-7h,Maybe,No,0,Regular,70-80%,70-80%,70-80%,4,Yes,Tuition,3-7h,Yes,With family,Yes,4,Yes,Always,4,No
Public,Sciences,Male,25,4th Year 2nd Semester,2.66,160,Lecture Materials and Self-Sourced Resources,3,Yes,No,Yes,No,Lack of preparation,0,0,Poor time management,Health issues,Family problems,Math,Below 50%,more than 12,Yes,more than 12,Maybe,Yes,more than 12,Only before exams,50-60%,50-60%,50-60%,2,No,Not Applicable,0,Yes,Off-campus apartment,Yes,2,Yes,Rarely,2,Yes
Public,Sciences,Male,23,3rd Year 1st Semester,3.4,100,Lecture Materials and Self-Sourced Resources,0,No,No,No,No,0,Other,0,0,0,0,"Life-Science (Biology, Geology, Chemistry, Microbiology)",60-70%,more than 12,Yes,3-7h,Maybe,No,0,Regular,70-80%,70-80%,70-80%,4,Yes,Tuition,8-12h,Yes,Off-campus apartment,Yes,4,Yes,Always,4,No
National,Sciences,Female,21,2nd Year 1st Semester,2.95,60,Lecture Materials and Self-Sourced Resources,1,Yes,No,No,No,Lack of preparation,0,0,0,0,0,Social Sciences,50-60%,8-12h,Yes,8-12h,Maybe,Yes,more than 12,Only before exams,50-60%,50-60%,50-60%,2,No,Not Applicable,0,Yes,Off-campus apartment,Yes,2,Yes,Sometimes,3,Yes
Public,Sciences,Male,24,3rd Year 2nd Semester,3.1,120,Lecture Materials and Self-Sourced Resources,0,No,No,No,No,0,Other,0,0,0,0,Math,60-70%,8-12h,Yes,3-7h,Maybe,Yes,more than 12,Only before exams,50-60%,50-60%,50-60%,3,No,Not Applicable,0,Yes,Off-campus apartment,Yes,3,Yes,Sometimes,2,No
National,Business Studies,Female,23,2nd Year 2nd Semester,2.75,80,Lecture Materials and Self-Sourced Resources,2,Yes,No,No,No,Lack of preparation,0,0,0,0,0,Business,50-60%,8-12h,Yes,more than 12,Maybe,Yes,more than 12,Only before exams,50-60%,50-60%,50-60%,2,No,Not Applicable,0,Yes,Off-campus apartment,Yes,2,Yes,Rarely,2,Yes
Public,Sciences,Male,22,2nd Year 2nd Semester,3.26,80,Lecture Materials and Self-Sourced Resources,0,No,No,No,No,0,Other,0,0,0,0,"Life-Science (Biology, Geology, Chemistry, Microbiology)",50-60%,3-7h,Yes,more than 12,Maybe,Yes,3-7h,Regular,60-70%,60-70%,70-80%,3,Yes,Tuition,3-7h,Yes,Off-campus apartment,Yes,4,Yes,Always,4,No
Private,Life Sciences,Female,24,4th Year 1st Semester,3.45,140,Lecture Materials and Self-Sourced Resources,0,No,No,No,No,0,Other,0,0,0,0,"Life-Science (Biology, Geology, Chemistry, Microbiology)",70-80%,more than 12,Yes,more than 12,Maybe,No,3-7h,Regular,70-80%,70-80%,70-80%,4,Yes,Tuition,3-7h,Yes,Off-campus apartment,Yes,4,Yes,Always,4,No
Public,Sciences,Male,21,2nd Year 1st Semester,2.88,60,Lecture Materials and Self-Sourced Resources,1,Yes,No,No,No,Lack of preparation,0,0,0,0,0,Math,50-60%,8-12h,Yes,more than 12,Maybe,Yes,more than 12,Only before exams,50-60%,50-60%,50-60%,2,Yes,Not Applicable,1-3h,Yes,Off-campus apartment,Yes,2,Yes,Sometimes,2,Yes
National,Sciences,Female,24,4th Year 1st Semester,3.08,140,Lecture Materials and Self-Sourced Resources,0,No,No,No,No,0,Other,0,0,0,0,"Life-Science (Biology, Geology, Chemistry, Microbiology)",60-70%,more than 12,Yes,3-7h,Maybe,No,0,Irregular,60-70%,60-70%,60-70%,4,Yes,Tuition,8-12h,Yes,Off-campus apartment,Yes,3,Yes,Always,3,No
Public,Sciences,Male,22,2nd Year 2nd Semester,2.69,80,Lecture Materials and Self-Sourced Resources,2,Yes,No,No,No,Lack of preparation,0,0,Poor time management,0,0,"Life-Science (Biology, Geology, Chemistry, Microbiology)",50-60%,3-7h,Yes,8-12h,Maybe,Yes,more than 12,Only before exams,50-60%,50-60%,50-60%,2,No,Not Applicable,0,Yes,Off-campus apartment,Yes,2,Yes,Rarely,2,Yes
Private,Life Sciences,Male,24,3rd Year 2nd Semester,3.4,120,Lecture Materials and Self-Sourced Resources,0,No,No,No,No,0,Other,0,0,0,0,"Life-Science (Biology, Geology, Chemistry, Microbiology)",60-70%,more than 12,Yes,3-7h,Maybe,No,0,Regular,70-80%,70-80%,70-80%,4,Yes,Tuition,3-7h,Yes,Off-campus apartment,Yes,4,Yes,Always,4,No
Public,Business Studies,Male,22,2nd Year 1st Semester,2.88,60,Lecture Materials and Self-Sourced Resources,1,Yes,No,No,No,Lack of preparation,0,0,0,0,0,Business,50-60%,8-12h,Yes,more than 12,Maybe,Yes,more than 12,Only before exams,50-60%,50-60%,50-60%,2,No,Not Applicable,0,Yes,Off-campus apartment,Yes,2,Yes,Sometimes,2,Yes
Public,Sciences,Male,24,3rd Year 2nd Semester,3.3,120,Lecture Materials and Self-Sourced Resources,0,No,No,No,No,0,Other,0,0,0,0,Math,50-60%,8-12h,Yes,more than 12,Maybe,Yes,more than 12,Only before exams,50-60%,50-60%,50-60%,2,No,Not Applicable,0,Yes,Off-campus apartment,Yes,2,Yes,Sometimes,2,No
Public,Sciences,Male,23,3rd Year 1st Semester,3.5,100,Lecture Materials and Self-Sourced Resources,0,No,No,No,No,0,Other,0,0,0,0,"Life-Science (Biology, Geology, Chemistry, Microbiology)",70-80%,more than 12,Yes,more than 12,Maybe,No,0,Regular,70-80%,70-80%,70-80%,4,Yes,Tuition,3-7h,Yes,Off-campus apartment,Yes,4,Yes,Always,4,No
Private,Life Sciences,Male,22,2nd Year 2nd Semester,2.79,80,Lecture Materials and Self-Sourced Resources,1,Yes,No,No,No,Lack of preparation,0,0,0,0,0,"Life-Science (Biology, Geology, Chemistry, Microbiology)",50-60%,3-7h,Yes,more than 12,Maybe,Yes,more than 12,Only before exams,50-60%,50-60%,50-60%,2,No,Not Applicable,0,Yes,Off-campus apartment,Yes,1,Yes,Rarely,2,Yes
Public,Engineering and Technology,Female,21,2nd Year 2nd Semester,3.69,52,Lecture Materials and Self-Sourced Resources,0,No,No,No,No,0,Other,0,0,0,0,0,Above 90%,3-7h,No,0,Maybe,No,0,Irregular,80-90%,70-80%,70-80%,3,No,Not Applicable,0,Yes,University dorm,Yes,4,Yes,Rarely,4,No
Public,Engineering and Technology,Female,20,2nd Year 2nd Semester,3.33,25,Lecture Materials and Self-Sourced Resources,0,No,No,No,No,Lack of preparation,0,0,0,0,0,0,Above 90%,1-3h,Yes,0,No,No,0,Only before exams,Above 90%,50-60%,50-60%,3,Yes,Not Applicable,0,Yes,With family,Yes,3,Yes,Rarely,1,No
Public,Engineering and Technology,Male,21,2nd Year 2nd Semester,3.3,64,Lecture Materials and Self-Sourced Resources,0,No,No,No,No,Lack of preparation,0,0,Poor time management,0,0,0,Above 90%,3-7h,Yes,0,No,No,0,Only before exams,70-80%,50-60%,50-60%,4,No,Not Applicable,0,Yes,University dorm,No,2,Yes,Sometimes,2,No
Public,Engineering and Technology,Male,22,2nd Year 2nd Semester,3.63,53,Group Study,0,No,No,No,No,0,Other,0,0,0,0,"Life-Science (Biology, Geology, Chemistry, Microbiology)",Above 90%,more than 12,Yes,1-3h,No,No,0,Irregular,70-80%,70-80%,70-80%,2,No,Not Applicable,0,Yes,Off-campus apartment,Yes,3,Yes,Always,3,No
Public,Social Sciences,Male,24,3rd Year 2nd Semester,2.56,120,Lecture Materials and Self-Sourced Resources,3,Yes,Yes,No,No,Lack of preparation,0,0,Poor time management,0,Family problems,Social Sciences,Below 50%,3-7h,Yes,more than 12,Maybe,Yes,more than 12,Only before exams,50-60%,50-60%,50-60%,2,No,Not Applicable,0,Yes,Off-campus apartment,Yes,2,Yes,Rarely,2,Yes
Public,Sciences,Male,23,3rd Year 1st Semester,2.67,100,Lecture Materials and Self-Sourced Resources,1,Yes,No,No,No,Lack of preparation,0,0,Poor time management,0,0,Math,50-60%,8-12h,Yes,more than 12,Maybe,Yes,8-12h,Only before exams,50-60%,50-60%,50-60%,2,No,Not Applicable,0,Yes,Off-campus apartment,Yes,2,Yes,Rarely,2,Yes
